Feature,4_IBA_23,4_IBA_25,4_IBA_32,4_IBA_35,4_IBA_37,4_IBA_38,4_IBA_39,4_IBA_40,5_MAR_41,5_MAR_42,5_MAR_43,5_MAR_44,5_MAR_45,5_MAR_46,5_MAR_47,5_MAR_48,2_OCT_10,2_OCT_11,2_OCT_12,2_OCT_13,2_OCT_14,2_OCT_15,2_OCT_16,2_OCT_17,2_OCT_18,1_SEPT_1,1_SEPT_2,1_SEPT_3,1_SEPT_4,1_SEPT_5,1_SEPT_6,1_SEPT_7,1_SEPT_8,1_SEPT_9,3_TOR_19,3_TOR_20,3_TOR_21,3_TOR_22,3_TOR_24,3_TOR_26,3_TOR_27,3_TOR_28,3_TOR_29,3_TOR_30,3_TOR_31,3_TOR_33,3_TOR_34,3_TOR_36
(+/-)-Homoproline,12991020.5,18736018.84,12365800.01,9598118.631,12902812.54,17218957.88,16339656.03,10384681.02,10272019.19,12920072.05,11429038.94,15540322.75,12578651.53,17136777.26,19321656.22,12710609.12,9988557.236,10200544.84,12063287.44,8850438.663,9609065.176,11033916.12,12228078.5,10610185.76,6993179.275,8112076.708,12995241.89,13199897.52,11240610.87,10900419.93,9217842.984,9672641.095,10750462.4,11744856.29,11999120.77,11431930.92,8987790.321,9976987.791,11292249.43,9288183.759,13735428.37,6173212.799,9301357.559,8787559.916,8327479.844,11460993.58,13554338.7,10082690.83
(2E)-2-Pentenoic acid,7551573.358,2743499.815,4405031.185,3946608.687,11211853.7,12318863.34,4603062.325,2636025.977,3778852.116,2403318.693,5454371.584,3731238.239,6790810.937,3856448.951,2232747.97,2297656.842,4539547.479,5828254.602,12504463.58,15421866.1,10047632.57,15528643.82,17303726.56,5951550.728,6778263.911,9011835.539,8031613.076,10643815.95,5591118.934,4895241.96,3940183.422,6961689.567,7299355.182,7387612.581,4417895.691,8662179.325,3585251.156,9900318.719,5838576.296,6448750.519,10400679.53,3326115.306,5560384.33,2505672.984,4005257.404,6484446.508,9524587.239,7911478.744
(2E)-hexadecenoylcarnitine,14637396.62,93751516.31,20766576.59,15634104.94,6387307.195,28243580.2,15551993.96,28721405.65,5846183.263,6719482.814,27162188.16,5838084.385,18027565.28,6154080.092,13705352.51,7596666.665,8076564.667,18797381.28,48071181.19,51526051.5,18549221.24,29545939.06,20410370.16,46020022.36,16390608.01,5488483.003,8154535.181,8377127.9,11504262.14,6646533.786,6744658.508,10197643.29,14534415.61,8268758.167,12592145.03,19607048.78,14489779.81,15247575.65,8034744.741,16446488.6,9202332.928,30689154.14,24652928.55,9751570.667,21007197.05,11415804.61,12950559.51,5636874.484
(2S)-2-Amino-8-hydroxyoctanoic acid,209803.4294,267446.3338,126055.3849,726352.6206,561805.2185,1117378.612,760431.6868,178807.287,1088643.114,425302.3107,277329.2282,507958.2043,182633.8116,250460.0308,509347.6353,1597056.224,910496.5482,374864.41,292655.0284,178089.4159,167775.1211,1588808.717,824085.0449,783266.6687,1596168.405,445102.1244,279430.4125,595912.7752,216475.5224,240751.8315,569063.253,663172.9426,321493.0059,227415.4945,1182731.751,883536.1859,525297.4137,370136.4539,499314.8408,455225.7752,699540.4273,77956.67179,940526.9625,527349.2096,600756.3007,124015.7824,635659.6627,2080158.304
(2S)-2-Methyl-4-(3H-purin-6-ylamino)butyl alpha-D-glucopyranoside,14125882.08,9852609.438,9895534.684,2829625.288,8394486.166,7169654.122,6966842.81,9377810.227,6079618.908,20200885.75,19664503.45,13947571.66,9132819.832,8924319.395,8427307.254,13702446.39,17353803.88,10643625.55,17002508.7,18184789.67,13502919.04,27327393.15,9214345.433,4265582.984,8971702.451,13680492.37,30626551.38,18619442.02,35818041.52,11268985.49,23082766.13,11542415.25,28560818.81,22237390.74,8036668.641,8460293.877,13142960.8,16923086.07,13549999.32,16420703.62,13996242.08,6110992.389,10787453.79,2130923.04,2346769.769,20729134.82,12743149.87,2617917.109
"(2S)-3-(1H-Imidazol-4-yl)-2-({[(3S,4S,5R)-2,3,4-trihydroxy-5-(hydroxymethyl)tetrahydro-2-furanyl]methyl}amino)propanoic acid (non-preferred name)",427398.7899,177241.4113,498147.2882,653298.307,633161.6073,464572.1063,737647.0328,405583.722,285100.5542,363699.6799,499128.8879,449090.3405,389426.427,258403.1455,341112.6672,392582.4178,668746.174,585733.672,311294.6373,383175.8121,548873.7116,705605.9064,554211.0613,558018.8171,953053.2708,459468.8254,364595.0762,438403.7754,471243.3143,302361.8108,286571.9616,327482.122,374549.1814,421472.5575,710430.6245,895404.4621,673859.6176,396023.6052,665338.0619,516525.9374,797478.4166,540196.0374,583749.703,577720.4504,642564.5267,573975.1434,534577.8801,721649.5997
(2S)-5-Carbamimidamido-2-(2-oxo-1-azetidinyl)pentanoic acid,517654.9355,666193.0106,590070.5595,624843.4476,925302.6086,663091.8441,641715.2677,262158.4874,450055.1309,310095.3221,492854.2431,485588.7434,635861.5292,408110.3703,319027.0902,265423.4344,635320.2545,1325840.586,709401.9297,637303.5414,1190802.714,391751.2158,674739.8874,994753.5709,467815.5674,515381.8234,635343.781,659281.7646,710762.1763,491944.7231,728091.5181,477960.0815,521079.6062,667641.6906,826668.2239,637070.6224,649897.1966,952194.8326,1217637.5,766114.3025,1519658.492,633149.8542,1376332.582,625085.5711,718325.2994,742068.9617,690565.9414,1002540.715
"(4S)-4-[(2E,4Z)-2,4-Decadienoyloxy]-4-(trimethylammonio)butanoate_0",50939106.15,2865926.195,7082876.46,4945155.776,6040188.457,3437823.571,39903698.89,2616922.124,25721939.4,27808182.4,3267195.163,14958018.21,6156341.695,15645554.42,18017602.43,5290027.501,6833989.419,3838897.999,6663987.866,54477169.81,8818736.029,7852282.86,32474923.7,1630117.959,88488567.21,6710959.288,5151658.955,22757935.74,29228218.11,3104676.655,31250508.32,20775724.33,12253781.13,26957606.6,2322822.777,10248558.74,15037467.31,5771434.662,19094678.88,22545767.14,4222504.032,73112735.57,4368784.961,5076874.891,56619432.9,3135770.348,5838712.327,9306202.792
"(4S)-4-[(2E,4Z)-2,4-Decadienoyloxy]-4-(trimethylammonio)butanoate_1",98444337.01,4231525.738,13102023.92,9015465.847,12271956.84,4206741.286,81248423.96,3666839.168,57610291,50064254.47,4818267.933,27652764.84,9071892.532,36427087.59,32088088.65,9557731.993,10680361.97,6987005.596,11212113.02,88658402.4,18711897.28,11953506.22,61799475.21,2865988.034,142630610,13104352.96,8631091.817,32624268.48,73390528.52,5465909.325,56674967.19,36635311.78,24727164.46,50618121.21,4018840.529,15720600.8,25801941.94,6686278.579,28846167.66,37462070.39,6750752.125,114842194.3,4237493.812,7960021.784,103367717,4710304.605,7739902.146,13417127.32
(4S)-4-{[(9Z)-3-Hydroxy-9-hexadecenoyl]oxy}-4-(trimethylammonio)butanoate_0,25676906.7,7790483.094,11424230.21,10993748.85,7377174.185,8416629.365,10838261.61,8547247.49,7390837.158,8882947.906,18452671.95,5842162.74,8019032.891,9737671.229,12362874.23,9059578.575,4067488.462,10792158.14,9711129.065,18216530.79,10700137.31,11240315.93,16172937.29,16251890.72,12013467.35,9204283.127,13643921.91,14682892.66,17071569.24,11326533.53,17027629.99,12372992.4,21614951.61,11378064.63,2907800.552,8241073.18,5728464.474,4289532.381,3659518.604,9496900.427,4589801.097,13461745.1,7611079.35,5617467.43,9533390.115,3901248.176,3911810.535,2762214.863
